"以下をちゃんと発音しているのは何番目？((1232.mp3))<br/>I don't eat raw fish.<br/>Keep the law.<br/>Years in a row.<br/>Low-level radiation.",なし,1番目,2番目,3番目,4番目
"以下をちゃんと発音しているのは何番目？((1323.mp3))<br/>I don't eat raw fish.<br/>Keep the law.<br/>Years in a row.<br/>Low-level radiation.",なし,1番目,2番目,3番目,4番目
"以下をちゃんと発音しているのは何番目？((1324.mp3))<br/>I don't eat raw fish.<br/>Keep the law.<br/>Years in a row.<br/>Low-level radiation.",4番目,なし,1番目,2番目,3番目
"以下をちゃんと発音しているのは何番目？((2134.mp3))<br/>I don't eat raw fish.<br/>Keep the law.<br/>Years in a row.<br/>Low-level radiation.",4番目,なし,1番目,2番目,3番目
"以下をちゃんと発音しているのは何番目？((2341.mp3))<br/>I don't eat raw fish.<br/>Keep the law.<br/>Years in a row.<br/>Low-level radiation.",3番目,4番目,なし,1番目,2番目
"以下をちゃんと発音しているのは何番目？((2413.mp3))<br/>I don't eat raw fish.<br/>Keep the law.<br/>Years in a row.<br/>Low-level radiation.",2番目,3番目,4番目,なし,1番目
"以下をちゃんと発音しているのは何番目？((3142.mp3))<br/>I don't eat raw fish.<br/>Keep the law.<br/>Years in a row.<br/>Low-level radiation.",3番目,4番目,なし,1番目,2番目
"以下をちゃんと発音しているのは何番目？((3421.mp3))<br/>I don't eat raw fish.<br/>Keep the law.<br/>Years in a row.<br/>Low-level radiation.",2番目,3番目,4番目,なし,1番目
"以下をちゃんと発音しているのは何番目？((4132.mp3))<br/>I don't eat raw fish.<br/>Keep the law.<br/>Years in a row.<br/>Low-level radiation.",1番目,2番目,3番目,4番目,なし
"以下をちゃんと発音しているのは何番目？((4312.mp3))<br/>I don't eat raw fish.<br/>Keep the law.<br/>Years in a row.<br/>Low-level radiation.",1番目,2番目,3番目,4番目,なし
