この音はどれ？((cfu01.mp3)),i,ɛ,æ,a,ɑ,ɒ,ɔ,u,ɪ,ʊ,ə
この音はどれ？((cfu02.mp3)),i,ɛ,æ,a,ɑ,ɒ,ɔ,u,ɪ,ʊ,ə
この音はどれ？((cfu03.mp3)),i,ɛ,æ,a,ɑ,ɒ,ɔ,u,ɪ,ʊ,ə
この音はどれ？((cfu04.mp3)),i,ɛ,æ,a,ɑ,ɒ,ɔ,u,ɪ,ʊ,ə
この音はどれ？((omfu01.mp3)),ɛ,æ,a,ɑ,ɒ,ɔ,u,ɪ,ʊ,ə,i
この音はどれ？((omfu02.mp3)),ɛ,æ,a,ɑ,ɒ,ɔ,u,ɪ,ʊ,ə,i
この音はどれ？((omfu03.mp3)),ɛ,æ,a,ɑ,ɒ,ɔ,u,ɪ,ʊ,ə,i
この音はどれ？((omfu04.mp3)),ɛ,æ,a,ɑ,ɒ,ɔ,u,ɪ,ʊ,ə,i
この音はどれ？((nofu01.mp3)),æ,a,ɑ,ɒ,ɔ,u,ɪ,ʊ,ə,i,ɛ
この音はどれ？((nofu02.mp3)),æ,a,ɑ,ɒ,ɔ,u,ɪ,ʊ,ə,i,ɛ
この音はどれ？((nofu03.mp3)),æ,a,ɑ,ɒ,ɔ,u,ɪ,ʊ,ə,i,ɛ
この音はどれ？((nofu04.mp3)),æ,a,ɑ,ɒ,ɔ,u,ɪ,ʊ,ə,i,ɛ
この音はどれ？((ofu01.mp3)),a,ɑ,ɒ,ɔ,u,ɪ,ʊ,ə,i,ɛ,æ
この音はどれ？((ofu02.mp3)),a,ɑ,ɒ,ɔ,u,ɪ,ʊ,ə,i,ɛ,æ
この音はどれ？((ofu03.mp3)),a,ɑ,ɒ,ɔ,u,ɪ,ʊ,ə,i,ɛ,æ
この音はどれ？((ofu04.mp3)),a,ɑ,ɒ,ɔ,u,ɪ,ʊ,ə,i,ɛ,æ
この音はどれ？((obu01.mp3)),ɑ,ɒ,ɔ,u,ɪ,ʊ,ə,i,ɛ,æ,a
この音はどれ？((obu02.mp3)),ɑ,ɒ,ɔ,u,ɪ,ʊ,ə,i,ɛ,æ,a
この音はどれ？((obu03.mp3)),ɑ,ɒ,ɔ,u,ɪ,ʊ,ə,i,ɛ,æ,a
この音はどれ？((obu04.mp3)),ɑ,ɒ,ɔ,u,ɪ,ʊ,ə,i,ɛ,æ,a
この音はどれ？((obr01.mp3)),ɒ,ɔ,u,ɪ,ʊ,ə,i,ɛ,æ,a,ɑ
この音はどれ？((obr02.mp3)),ɒ,ɔ,u,ɪ,ʊ,ə,i,ɛ,æ,a,ɑ
この音はどれ？((obr03.mp3)),ɒ,ɔ,u,ɪ,ʊ,ə,i,ɛ,æ,a,ɑ
この音はどれ？((obr04.mp3)),ɒ,ɔ,u,ɪ,ʊ,ə,i,ɛ,æ,a,ɑ
この音はどれ？((ombr01.mp3)),ɔ,u,ɪ,ʊ,ə,i,ɛ,æ,a,ɑ,ɒ
この音はどれ？((ombr02.mp3)),ɔ,u,ɪ,ʊ,ə,i,ɛ,æ,a,ɑ,ɒ
この音はどれ？((ombr03.mp3)),ɔ,u,ɪ,ʊ,ə,i,ɛ,æ,a,ɑ,ɒ
この音はどれ？((ombr04.mp3)),ɔ,u,ɪ,ʊ,ə,i,ɛ,æ,a,ɑ,ɒ
この音はどれ？((cbr01.mp3)),u,ɪ,ʊ,ə,i,ɛ,æ,a,ɑ,ɒ,ɔ
この音はどれ？((cbr02.mp3)),u,ɪ,ʊ,ə,i,ɛ,æ,a,ɑ,ɒ,ɔ
この音はどれ？((cbr03.mp3)),u,ɪ,ʊ,ə,i,ɛ,æ,a,ɑ,ɒ,ɔ
この音はどれ？((cbr04.mp3)),u,ɪ,ʊ,ə,i,ɛ,æ,a,ɑ,ɒ,ɔ
この音はどれ？((ncnfu01.mp3)),ɪ,ʊ,ə,i,ɛ,æ,a,ɑ,ɒ,ɔ,u
この音はどれ？((ncnfu02.mp3)),ɪ,ʊ,ə,i,ɛ,æ,a,ɑ,ɒ,ɔ,u
この音はどれ？((ncnfu03.mp3)),ɪ,ʊ,ə,i,ɛ,æ,a,ɑ,ɒ,ɔ,u
この音はどれ？((ncnfu04.mp3)),ɪ,ʊ,ə,i,ɛ,æ,a,ɑ,ɒ,ɔ,u
この音はどれ？((ncnbr01.mp3)),ʊ,ə,i,ɛ,æ,a,ɑ,ɒ,ɔ,u,ɪ
この音はどれ？((ncnbr02.mp3)),ʊ,ə,i,ɛ,æ,a,ɑ,ɒ,ɔ,u,ɪ
この音はどれ？((ncnbr03.mp3)),ʊ,ə,i,ɛ,æ,a,ɑ,ɒ,ɔ,u,ɪ
この音はどれ？((ncnbr04.mp3)),ʊ,ə,i,ɛ,æ,a,ɑ,ɒ,ɔ,u,ɪ
この音はどれ？((mc01.mp3)),ə,i,ɛ,æ,a,ɑ,ɒ,ɔ,u,ɪ,ʊ
この音はどれ？((mc02.mp3)),ə,i,ɛ,æ,a,ɑ,ɒ,ɔ,u,ɪ,ʊ
この音はどれ？((mc03.mp3)),ə,i,ɛ,æ,a,ɑ,ɒ,ɔ,u,ɪ,ʊ
この音はどれ？((mc04.mp3)),ə,i,ɛ,æ,a,ɑ,ɒ,ɔ,u,ɪ,ʊ
